mastery,treatment,experiment
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,0,Emotion Labeling
False,1,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,0,Emotion Labeling
False,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,0,Emotion Labeling
False,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,1,Emotion Labeling
True,1,Emotion Labeling
False,1,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
True,0,Emotion Labeling
False,1,Emotion Labeling
True,1,Emotion Labeling
